,Sample,Max_Wavelength,Max_Value,FWHM
0,30sec,534.011,13.4859,0.04699999999991178
1,1min,519.809,11.4675,0.06500000000005457
2,2min,522.164,4778.98,18.053999999999974
3,3min,526.3340000000001,15068.6,18.847000000000094
4,4min,529.67,7748.62,17.948000000000093
5,5min,526.113,63470.8,19.049000000000092
6,10min,525.164,11175.3,21.285999999999945
7,15min,530.297,23946.2,21.29300000000012
8,20min,526.46,10067.8,20.297000000000025
9,40min,527.734,29085.7,19.858999999999924
10,60min,531.8330000000001,28691.7,20.052000000000135
11,80min,532.503,37305.8,21.886999999999944
12,100min,531.418,18410.9,19.885999999999967
13,120min,531.594,16345.7,19.01299999999992
