,Sample,Max_Wavelength,Max_Value,FWHM
0,30sec,360.514,23.3227,0.8569999999999709
1,1min,387.01199999999994,21.5744,7.4979999999999905
2,2min,360.61400000000003,19.0046,-79.22299999999996
3,3min,360.55400000000003,22.410999999999998,0.7180000000000177
4,4min,398.154,47.479,8.746999999999957
5,5min,360.61400000000003,17.8137,0.6779999999999973
6,10min,400.833,393.73,9.375
7,15min,400.20300000000003,933.2810000000001,9.600000000000023
8,20min,400.337,599.683,11.168999999999983
9,40min,401.024,2103.43,10.579999999999984
10,60min,401.958,391.676,10.165999999999997
11,80min,401.48199999999997,2251.23,10.27800000000002
12,100min,402.224,2281.68,9.738
13,120min,401.52,2083.22,10.296999999999969
