,Sample,Max_Wavelength,Max_Value,FWHM
0,30sec,758.6560000000001,312.041,134.86900000000014
1,1min,756.309,1431.96,40.27700000000016
2,2min,762.592,3381.37,41.847999999999956
3,3min,761.3710000000001,40343.6,38.908000000000015
4,4min,748.846,6232.58,48.05400000000009
5,5min,754.74,11267.6,42.40700000000004
6,10min,756.9019999999999,6221.81,40.28100000000006
7,15min,758.6560000000001,12958.1,41.5379999999999
8,20min,758.813,8809.65,38.92599999999993
9,40min,759.694,923.742,37.763000000000034
10,60min,761.3710000000001,11685.4,39.72600000000011
11,80min,761.8560000000001,15817.3,38.958999999999946
12,100min,761.8760000000001,49817.0,38.892999999999915
13,120min,762.96,9919.42,38.66999999999996
