,Sample,Max_Wavelength,Max_Value,FWHM
0,30sec,770.596,47.0805,22.785000000000082
1,1min,762.9989999999999,55.1852,22.20799999999997
2,2min,775.1,48.1943,25.214000000000055
3,3min,762.806,42.1447,10.603999999999928
4,4min,754.0830000000001,1722.26,41.88900000000001
5,5min,762.168,1130.31,35.47499999999991
6,10min,759.676,5914.25,39.503999999999905
7,20min,761.8960000000001,35800.3,36.56899999999996
8,40min,761.8960000000001,5984.22,37.416999999999916
9,60min,763.867,8324.04,40.81200000000001
10,80min,763.7710000000001,20197.5,38.37599999999986
11,100min,764.52,1794.23,32.379999999999995
12,120min,763.404,5546.52,35.04600000000005
